id0,id1,relationship,count
2904020714,2874237391,reply-to,1
1156883954,934874966,reply-to,1
327089688,271128440,reply-to,6
1321824992,1007075178,reply-to,1
2898867599,2468269830,mentioned,1
219326020,1222881480,reply-to,1
410848362,2767352923,reply-to,37
3079487386,1275871730,mentioned,1
615406114,368539204,reply-to,2
2616033411,609320639,reply-to,1
1562508127,1597573207,reply-to,3
2985532282,2880128194,reply-to,1
3000899473,832193689,reply-to,1
2645545330,873722743,reply-to,2
1656258320,2175109904,mentioned,3
48444015,19862538,reply-to,1
919556972,1035886063,reply-to,1
3045380097,3033688844,mentioned,1
2540314239,1199537131,reply-to,1
1561234734,2904020714,reply-to,2
2985532282,2971393186,reply-to,1
1301425776,394915376,mentioned,4
950947550,1223183936,reply-to,2
976849022,1197339265,reply-to,1
2793245421,1705799604,mentioned,1
2902992522,2615278179,mentioned,1
138663266,763937342,mentioned,1
3045380097,3000320012,mentioned,1
1697354906,2162753315,mentioned,8
2861018188,2887983925,mentioned,1
3010859096,1083554514,reply-to,2
158461099,320154349,mentioned,2
2148172328,1727976336,mentioned,5
2815541726,148382170,reply-to,1
413456469,2151713591,mentioned,1
2857992616,1452813307,reply-to,6
3109258052,3040103930,reply-to,1
3080447771,115117283,reply-to,1
386988166,1452325201,reply-to,1
3035122511,2893452378,mentioned,1
2922425555,222216222,reply-to,1
2971393186,2566146384,mentioned,1
2793947713,2649031446,mentioned,1
1599087102,2731748451,mentioned,1
2508070955,852369529,mentioned,1
832193689,2956952202,reply-to,26
2804783927,2313235804,reply-to,2
224851512,1895875501,mentioned,1
374751288,388353254,reply-to,1
188835953,540668662,mentioned,27
976849022,433007443,reply-to,2
2313235804,2198647110,reply-to,1
1603000094,846960362,mentioned,1
2320332542,253008760,reply-to,2
213224067,34449129,mentioned,6
2938014303,2888167623,reply-to,1
2907316207,2918949181,reply-to,3
2200242956,34449129,mentioned,4
2362477976,1506877316,mentioned,1
1567061137,1217286588,mentioned,1
1242430106,24206799,mentioned,2
2400577441,1087002326,mentioned,1
1611364122,2961453587,reply-to,5
2273324692,2809830512,mentioned,1
872650686,282714070,mentioned,1
1385482496,3008628331,reply-to,1
990148682,2861018188,reply-to,1
1973107178,2871787100,reply-to,4
2807490858,2747144492,reply-to,5
2541327975,2754672875,reply-to,1
2380360494,961787250,reply-to,2
2740082962,2887983925,reply-to,1
2571640015,1413761539,reply-to,1
2263277981,2419541310,reply-to,1
186155207,1572006127,reply-to,1
2247581354,1564144423,reply-to,1
2987169382,2915944173,reply-to,2
1850202151,579278907,reply-to,1
2974807259,2615278179,reply-to,2
2550962437,2619345784,reply-to,1
1076617212,539887811,reply-to,1
2852593004,2992082472,reply-to,1
1050443076,2250821532,mentioned,21
2353280685,545376677,reply-to,2
338520637,14221588,reply-to,3
3041296181,1880024862,reply-to,1
2200242956,22275527,reply-to,1
2970923751,2953168387,reply-to,2
2495608604,2908593735,reply-to,2
2987169382,2649031446,reply-to,11
995320604,946875966,mentioned,1
3027575316,2973701782,reply-to,1
2891295326,2893452378,reply-to,1
2351718736,2254600782,mentioned,1
2558487041,2550962437,mentioned,1
2788275124,2981914066,reply-to,1
2654747130,3035288194,reply-to,1
983400091,484783355,mentioned,3
2886127198,2908557105,mentioned,1
2351495981,2377692914,reply-to,1
3007047730,928930566,reply-to,1
7775542,3060125786,mentioned,2
2865686718,546389187,mentioned,1
71756063,126710614,mentioned,1
2516850933,2492448252,mentioned,3
2206844066,2258733919,reply-to,1
2936651555,831840926,mentioned,1
578381354,413456469,mentioned,10
