The number of nodes: 3513
The number of nodes: 3513
The number of nodes: 3513
The number of edges: 17227
The number of self-loop: 0
The in-degree and out-degree of nodes
Node 	 In-degree 	 Out-degree
1176300842 	 1 	 1
16192111 	 191 	 100
3087428006 	 56 	 2
2454699672 	 4 	 0
937751498 	 0 	 1
2883491925 	 0 	 1
2703787545 	 0 	 2
2567880484 	 4 	 1
1018920110 	 0 	 16
2241703724 	 1 	 0
2688118661 	 1 	 0
1410931411 	 17 	 14
227392272 	 0 	 11
368645204 	 4 	 0
1970021965 	 0 	 3
3092314834 	 0 	 1
518156339 	 1 	 1
731105472 	 0 	 7
2798048167 	 4 	 5
2945336963 	 0 	 1
1561695043 	 4 	 11
711871560 	 1 	 1
1321353174 	 1 	 7
2734355331 	 5 	 1
606014371 	 6 	 4
1963113289 	 45 	 57
3107026614 	 1 	 1
1190127122 	 0 	 5
2962116005 	 0 	 6
249024067 	 0 	 2
1911470502 	 0 	 1
62083840 	 24 	 5
2159169763 	 1 	 8
1973316967 	 1 	 2
58621011 	 11 	 2
38001218 	 2209 	 229
2506739736 	 0 	 13
2326323615 	 2 	 10
2998919746 	 0 	 2
1699678674 	 5 	 23
1542382298 	 5 	 0
968857844 	 1 	 0
713727168 	 13 	 3
1155862230 	 39 	 38
1423333874 	 0 	 5
325175035 	 13 	 1
967054796 	 0 	 9
2965159287 	 19 	 24
537378311 	 49 	 3
2558673519 	 0 	 3
2781639245 	 2 	 0
2269456136 	 2 	 0
751871257 	 5 	 7
907045382 	 0 	 2
2910308671 	 1 	 0
2674599800 	 1 	 4
2873444470 	 3 	 0
20786842 	 2 	 8
2938014303 	 0 	 2
2889460407 	 3 	 0
2800033322 	 2 	 0
3006995960 	 10 	 12
602938795 	 0 	 1
2902437564 	 5 	 0
2809830512 	 6 	 0
2299894347 	 0 	 27
1551453048 	 11 	 10
2847051356 	 0 	 11
1655628307 	 1 	 0
3062226205 	 1 	 2
475207776 	 0 	 2
2522760990 	 5 	 7
2450069605 	 2 	 17
232444717 	 822 	 138
1038962886 	 1 	 3
1562420970 	 3 	 5
3044054369 	 0 	 1
2822791770 	 2 	 5
1373452250 	 14 	 1
871714910 	 0 	 6
2631434421 	 2 	 15
41109816 	 73 	 51
1056168192 	 1 	 0
2715354959 	 1 	 1
1350874850 	 12 	 16
545376677 	 10 	 0
415851931 	 0 	 1
189631008 	 0 	 3
2764709561 	 4 	 21
39414741 	 26 	 62
70871291 	 1 	 6
2461374865 	 1 	 6
366035924 	 15 	 7
2937775596 	 0 	 1
3129787019 	 2 	 0
91373188 	 194 	 26
457706466 	 1 	 6
2949553611 	 2 	 1
1568674100 	 1 	 14
2353997862 	 0 	 6
2987744464 	 28 	 5
705553072 	 6 	 27
2836473335 	 126 	 379
2400168135 	 2 	 14
2455729694 	 1 	 0
1976498636 	 1 	 2
2930323604 	 0 	 1
502603027 	 0 	 1
1406309394 	 10 	 16
2994767662 	 0 	 6
2923364749 	 0 	 1
3095564407 	 11 	 0
2615278179 	 366 	 57
2855192379 	 6 	 2
1121049320 	 0 	 2
213037272 	 333 	 696
2377692914 	 40 	 8
1620469022 	 2 	 4
2236205708 	 0 	 2
2234796254 	 0 	 2
2559740585 	 10 	 10
855791893 	 522 	 884
464146062 	 16 	 5
2776291506 	 6 	 0
2846283317 	 0 	 1
1665579421 	 2 	 13
2845813648 	 62 	 70
87972159 	 0 	 3
2956331206 	 0 	 2
1621307221 	 0 	 3
772928647 	 1 	 0
1148981760 	 6 	 4
