user,follower,type,scraped_at
1597573207,1635634476,0,Mon Jan 18 11:46:39 +0000 2016
840907788,1635634476,0,Mon Jan 18 11:46:39 +0000 2016
996552967,1635634476,0,Mon Jan 18 11:46:39 +0000 2016
1641566642,1635634476,0,Mon Jan 18 11:46:40 +0000 2016
1641735283,1635634476,0,Mon Jan 18 11:46:40 +0000 2016
630629210,1635634476,0,Mon Jan 18 11:46:40 +0000 2016
1597450388,1635634476,0,Mon Jan 18 11:46:40 +0000 2016
1586534125,1635634476,0,Mon Jan 18 11:46:40 +0000 2016
2680674001,1940124240,0,Mon Jan 18 11:46:41 +0000 2016
2619876186,1940124240,0,Mon Jan 18 11:46:41 +0000 2016
2149225764,1940124240,0,Mon Jan 18 11:46:41 +0000 2016
2300746824,1940124240,0,Mon Jan 18 11:46:41 +0000 2016
803505462,1940124240,0,Mon Jan 18 11:46:41 +0000 2016
457519100,1940124240,0,Mon Jan 18 11:46:41 +0000 2016
1668723068,1940124240,0,Mon Jan 18 11:46:41 +0000 2016
996552967,1940124240,0,Mon Jan 18 11:46:41 +0000 2016
127384095,1940124240,0,Mon Jan 18 11:46:41 +0000 2016
2273543954,1940124240,0,Mon Jan 18 11:46:41 +0000 2016
850218727,1940124240,0,Mon Jan 18 11:46:41 +0000 2016
1918910587,1940124240,0,Mon Jan 18 11:46:41 +0000 2016
2290769879,1940124240,0,Mon Jan 18 11:46:41 +0000 2016
2177652245,1940124240,0,Mon Jan 18 11:46:41 +0000 2016
1601930899,1940124240,0,Mon Jan 18 11:46:41 +0000 2016
1949908093,1940124240,0,Mon Jan 18 11:46:42 +0000 2016
529073966,1940124240,0,Mon Jan 18 11:46:42 +0000 2016
1261239666,1940124240,0,Mon Jan 18 11:46:42 +0000 2016
591837820,1940124240,0,Mon Jan 18 11:46:42 +0000 2016
1711814774,1940124240,0,Mon Jan 18 11:46:42 +0000 2016
615527475,1940124240,0,Mon Jan 18 11:46:42 +0000 2016
735873264,1940124240,0,Mon Jan 18 11:46:42 +0000 2016
633234689,1940124240,0,Mon Jan 18 11:46:42 +0000 2016
2174937221,1940124240,0,Mon Jan 18 11:46:42 +0000 2016
